Altium Designer Pick and Place Locations
C:\Users\gupta\OneDrive\Desktop\Altium\BACKUP\PCb\ESp_32\Project Outputs for ESp_32\Pick Place\Pick Place for ESP32_USBC_PCB(Prototype).csv

========================================================================================================================
File Design Information:

Date:       25-01-25
Time:       06:29
Revision:   Not in VersionControl
Variant:    Prototype
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C15","100nF, 50V","TopLayer","CAPC1005X55N","2563.000","860.000","180","CAP CER 0.1UF 50V X7R 0402"
"C14","10uF, 10V","TopLayer","CAPC1005X55N","2483.840","859.742","0","CAP CER 10UF 10V X5R 0402"
"R16","10K","TopLayer","RESC1005X37N","1010.000","652.992","270","RES SMD 10K OHM 1% 1/16W 0402"
"Q1","SS8050-G","TopLayer","FP-SS8050-G-IPC_B","1125.000","672.992","0","TRANS NPN 25V 1.5A SOT23-3"
"R19","0R","TopLayer","RESC1005X37N","2035.000","145.000","180","RES 0 OHM JUMPER 1/16W 0402"
"U3","TL1963A-33DCYR","TopLayer","DCY0004A_N","780.000","290.000","0","IC REG LINEAR 3.3V 1.5A SOT223-4"
"U2","FT231XQ-R","TopLayer","FP-QFN-20-IPC_B","710.000","770.000","270","IC USB SERIAL FULL UART 20QFN"
"U1","ESP32-S3-MINI-1-N8","TopLayer","XCVR_ESP32-S3-MINI-1-N8","2395.039","500.000","270","SMD Module, ESP32-S3FN8, 8 mb Sp"
"SW2","PTS645SH50SMTR92LFS","TopLayer","FP-PTS645SH50SMTR92LFS-MFG","1400.000","750.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW1","PTS645SH50SMTR92LFS","TopLayer","FP-PTS645SH50SMTR92LFS-MFG","1400.000","250.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"R24","0R","TopLayer","RESC1005X37N","1935.998","447.958","0","RES 0 OHM JUMPER 1/16W 0402"
"R23","0R","TopLayer","RESC1005X37N","1935.984","518.000","0","RES 0 OHM JUMPER 1/16W 0402"
"R22","27R","TopLayer","RESC1005X37N","1937.008","790.000","0","RES 27 OHM 1% 1/16W 0402"
"R21","27R","TopLayer","RESC1005X37N","1937.008","840.000","0","RES 27 OHM 1% 1/16W 0402"
"R20","0R","TopLayer","RESC1005X37N","2140.000","145.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R18","10K","TopLayer","RESC1005X37N","1015.000","832.992","90","RES SMD 10K OHM 1% 1/16W 0402"
